107,87.86,1.36,0.19,10.15,22,0.24,11,35,166,3,0.21,0.067,0.153,0.6,5.2,0.042,0.023,0.165,0.113,0.129,15,0,0,0,0.031,0.027,0.073
108,80.24,1.32,0.3,17.01,37,0.58,29,69,367,10,0.26,0.138,0.294,1.7,13,0.083,0.051,0.724,0.588,0.093,58,0,0,0,0.05,0.112,0.047
109,62.13,5.8,0.93,30.86,7,1.28,18,58,44,1,0.51,0.1,0.322,26.4,0,0.274,0.136,1.689,0.112,0.049,73,0,0,0,0.176,0.131,0.326
110,62.13,5.8,0.93,30.86,7,0.5,18,58,44,1,0.51,0.1,0.322,26.4,0,0.02,0.02,0.4,0.112,0.049,7,0,0,0,0.176,0.131,0.326
111,68.56,5.15,1.05,24.93,6,1.14,18,63,24,6,0.56,0.093,0.224,0,0,0.209,0.15,0.992,0.183,0.034,64,0.14,6,33,0.15,0.124,0.429
112,68.58,5.06,0.94,25.04,18,1.11,24,57,37,6,0.63,0.08,0.316,0,0,0.178,0.134,1.011,0.232,0.113,64,0.14,10,33,0.217,0.296,0.21
113,68.31,2.63,0.73,27.91,1,0.25,36,76,31,0,0.63,0.064,0.153,2.8,0,0.053,0.023,0.556,0.128,0.058,6,0,3,0,0.102,0.191,0.325
114,60.72,5.82,1.5,31.51,12,1.65,45,110,77,6,1.12,0.199,1.032,34.2,0,0.157,0.103,2.887,0.23,0.097,20,0,0,0,0.239,0.171,0.584
115,88.91,3.27,0.23,7.05,42,1.97,26,55,240,4,0.37,0.077,0.168,0.7,47.9,0.128,0.076,0.539,0.673,0.144,29,0,52,0,0.044,0.023,0.1
116,77.87,5.36,0.22,15.63,27,1.54,39,117,271,3,1.19,0.173,0.525,1.9,14.2,0.259,0.149,2.021,0.153,0.216,63,0,40,0,0.039,0.019,0.102
117,74.37,7.05,0.51,17.08,26,1.67,41,24,268,3,0.78,0.02,0.325,0.6,6.6,0.216,0.285,1.072,0.683,0.128,36,0,5,0,0.09,0.045,0.24
118,69.49,8.34,0.39,21.1,14,1.29,36,99,362,2,1,0.181,0.396,0.6,0.4,0.19,0.056,0.89,0.595,0.048,65,0,0,0,0.054,0.081,0.165
119,91.87,0.92,0.2,6.7,9,0.46,10,18,166,2,0.12,0.065,0.115,0.3,74.4,0.059,0.03,0.477,0.079,0.233,16,0,23,0,0.029,0.013,0.106
120,91.87,0.92,0.2,6.7,9,0.46,10,18,166,2,0.12,0.065,0.115,0.3,171,0.059,0.03,0.477,0.079,0.233,16,0,147,0,0.029,0.013,0.106
